제품명,브랜드,AI여부,CPU브랜드,CPU등급,그래픽,RAM(GB),배터리용량,무게(kg),화면크기(인치),가격,리뷰수,용도,용도_게임용,용도_그래픽작업용,용도_사무,용도_휴대용,has_rating,별점,외장그래픽,등록일,등록_경과월,Cluster,OS_프리도스,OS_윈도우11,OS_macOS
MSI GL시리즈 펄스 GL76 11UEK WIN10 32GB램,MSI,0,인텔,7,외장,32.0,53.0,2.6,17.3,2290000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,21.08.,55,2,0,0,0
MSI 써밋 E13 Flip EVO A11MT 블랙,MSI,0,인텔,7,내장,32.0,70.0,1.35,13.4,2490000,1,사무,0,0,1,0,1,4.0,0,21.05.,58,4,0,0,0
MSI GP시리즈 GP66 Leopard 10UH,MSI,0,인텔,7,외장,16.0,65.0,2.38,15.6,2890000,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,21.05.,58,3,1,0,0
MSI GF시리즈 GF75 Thin 10UEK-i7 WIN10 32GB램,MSI,0,인텔,7,외장,32.0,51.0,2.3,17.3,2590000,1,게임용,1,0,0,0,1,5.0,1,21.01.,62,2,0,0,0
"APPLE 맥북프로14 M5 10코어 CPU, 10코어 GPU 실버",APPLE,0,APPLE,7,내장,16.0,72.4,1.55,14.2,2501700,5,그래픽작업용,0,1,0,0,1,4.8,0,25.11.,4,4,0,0,1
레노버 아이디어패드 Slim3 15ARP10 83K7003AKR WIN11 16GB램,레노버,0,AMD,5,내장,16.0,60.0,1.49,15.1,1027410,4,사무,0,0,1,0,1,5.0,0,25.04.,11,4,0,1,0
LG전자 2026 그램 프로16 16Z90U-KU7HK,LG전자,1,인텔,7,내장,32.0,77.0,1.19,16.0,3160000,9,사무,0,0,1,0,1,5.0,0,26.01.,2,4,0,1,0
ASUS TUF Gaming A16 FA608PP-QT028 32GB램,ASUS,0,AMD,9,외장,32.0,90.0,2.2,16.0,2635650,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.05.,10,3,1,0,0
LG전자 2026 그램14 14Z95U-GS5WK,LG전자,1,AMD,5,내장,16.0,72.0,1.12,14.0,1857770,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
레노버 아이디어패드 Slim5 16AKP10 83HY0045KR,레노버,1,AMD,7,내장,32.0,60.0,1.69,16.0,1748890,2,사무,0,0,1,0,1,4.5,0,25.03.,12,4,0,1,0
레노버 LEGION 5 15IRX10 i7 5060 SE,레노버,0,인텔,7,외장,16.0,80.0,2.1,15.3,1748000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.09.,6,3,1,0,0
LG전자 2026 그램 프로16 16ZD95U-GX59K WIN11,LG전자,1,AMD,5,내장,32.0,77.0,1.19,16.0,2526000,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
LG전자 2026 그램 프로16 16Z95U-GS5WK,LG전자,1,AMD,5,내장,16.0,77.0,1.199,16.0,2398630,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
ASUS TUF Gaming F16 FX607JV-QT213 WIN11 32GB램,ASUS,0,인텔,7,외장,32.0,90.0,2.27,16.0,2249310,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.07.,20,2,0,1,0
HP 오멘 16-ap0097AX,HP,0,AMD,9,외장,32.0,83.0,2.35,16.0,2049000,24,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,25.06.,9,3,1,0,0
HP 오멘 16-ap0117AX WIN11,HP,0,AMD,9,외장,32.0,83.0,2.35,16.0,2574000,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,25.06.,9,2,0,1,0
HP 오멘 MAX 16-ah0064TX,HP,1,인텔,9,외장,32.0,83.0,2.75,16.0,4769000,4,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.03.,12,0,0,1,0
LG전자 2025 그램 프로17 17Z90TR-EP7CL,LG전자,1,인텔,7,외장,32.0,90.0,1.48,17.0,3574170,0,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,0,0.0,1,25.11.,4,0,0,1,0
HP 오멘 슬림 16-an0023TX 32GB램,HP,1,인텔,7,외장,32.0,70.0,2.42,16.0,2112000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.10.,5,5,1,0,0
레노버 LEGION Pro 7i 83F5CTO1WWKR1,레노버,1,인텔,9,외장,32.0,80.0,2.57,16.0,3697000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.05.,10,0,0,1,0
LG전자 2025 그램16 16ZD90TL-GX79K WIN11,LG전자,1,인텔,7,내장,32.0,77.0,1.24,16.0,2845950,1,사무,0,0,1,0,1,5.0,0,26.01.,2,4,0,1,0
레노버 씽크패드 E16 G3 U7 AI WIN11 32GB램,레노버,1,인텔,7,내장,32.0,64.0,1.63,16.0,2190000,0,사무,0,0,1,0,0,0.0,0,25.07.,8,1,0,1,0
레노버 아이디어패드 Slim5 16AGP11 83S2003LKR,레노버,1,AMD,7,내장,32.0,60.0,1.69,16.0,1989000,0,사무,0,0,1,0,0,0.0,0,26.02.,1,1,0,1,0
레노버 LEGION Pro 5 16IAX10H U9 5070Ti Plus W11P,레노버,1,인텔,9,외장,32.0,80.0,2.42,16.0,3440000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.07.,8,0,0,1,0
ASUS TUF Gaming A16 FA608UM-QT043 32GB램,ASUS,1,AMD,7,외장,32.0,90.0,2.2,16.0,2320000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.06.,9,5,1,0,0
레노버 씽크패드 X1 카본 Gen13 21NS00NTKR,레노버,1,인텔,7,내장,32.0,57.0,0.986,14.0,2930000,0,사무,0,0,1,0,0,0.0,0,25.11.,4,1,0,1,0
LG전자 울트라PC 15UD50T-GX5JK WIN11 16GB램,LG전자,0,인텔,5,내장,16.0,51.0,1.7,15.6,1016680,9,사무,0,0,1,0,1,5.0,0,24.12.,15,4,0,1,0
HP Z북 Power G11 9A663AV,HP,1,인텔,7,외장,32.0,95.0,2.12,16.0,4330000,0,그래픽작업용,0,1,0,0,0,0.0,1,24.07.,20,0,0,1,0
레노버 씽크패드 P16s Gen4 21RXCTO1WWKR1,레노버,1,AMD,9,내장,64.0,86.0,1.71,16.0,2799000,0,사무,0,0,1,0,0,0.0,0,25.05.,10,1,0,1,0
레노버 LOQ 15AHP10 R7 5060 WIN11,레노버,1,AMD,7,외장,16.0,60.0,2.4,15.6,1699400,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.08.,7,0,0,1,0
LG전자 2025 그램 프로16 16Z90TS-GS5CK,LG전자,1,인텔,5,내장,16.0,77.0,1.199,16.0,2098990,6,사무,0,0,1,0,1,4.6,0,25.03.,12,4,0,1,0
"APPLE 맥북프로14 M5 10코어 CPU, 10코어 GPU 실버 영문",APPLE,0,APPLE,7,내장,16.0,72.4,1.55,14.2,2501700,0,그래픽작업용,0,1,0,0,0,0.0,0,25.11.,4,1,0,0,1
HP 오멘 MAX 16-ah0188TX,HP,1,인텔,9,외장,64.0,83.0,2.75,16.0,5670000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.05.,10,0,0,1,0
LG전자 2025 그램15 15Z90T-GP7UL,LG전자,1,인텔,7,내장,32.0,72.0,1.29,15.6,2721890,0,사무,0,0,1,0,0,0.0,0,25.06.,9,1,0,1,0
LG전자 2025 그램15 15ZD80T-GX79K,LG전자,1,AMD,7,내장,32.0,72.0,1.29,15.6,2053500,5,사무,0,0,1,0,1,4.6,0,25.04.,11,4,1,0,0
ASUS 젠북 S 16 UX5606SA-RJ218W,ASUS,1,인텔,7,내장,32.0,78.0,1.5,16.0,2348000,0,사무,0,0,1,0,0,0.0,0,25.01.,14,1,0,1,0
ASUS Gaming V16 V3607VM-RP006 WIN11 32GB램,ASUS,0,인텔,7,외장,32.0,63.0,1.95,16.0,1998890,3,게임용,1,0,0,0,1,2.3,1,25.05.,10,2,0,1,0
HP 오멘 16 슬림 u1023TX,HP,0,인텔,7,외장,32.0,97.0,2.18,16.0,2177000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,24.12.,15,2,0,1,0
LG전자 2026 그램 프로16 16Z90U-KS5TK,LG전자,1,인텔,5,내장,16.0,77.0,1.19,16.0,2579990,7,사무,0,0,1,0,1,4.4,0,26.01.,2,4,0,1,0
레노버 LEGION 5i 15IRX9 i7 4060 WIN11,레노버,0,인텔,7,외장,24.0,60.0,2.3,15.6,1610000,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,24.09.,18,2,0,1,0
에이서 프레데터 헬리오스 네오 16S 슬림 AI PHN16S-71-91JF,에이서,1,인텔,9,외장,32.0,76.0,2.15,16.0,2441000,34,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,25.07.,8,5,1,0,0
LG전자 2025 그램15 15Z80T-GU7WK,LG전자,1,AMD,7,내장,32.0,72.0,1.29,15.6,2099110,61,사무,0,0,1,0,1,4.9,0,25.04.,11,4,0,1,0
LG전자 2026 그램15 15Z95U-GU7WK,LG전자,1,AMD,7,내장,32.0,72.0,1.29,15.6,2672260,24,사무,0,0,1,0,1,4.9,0,26.01.,2,4,0,1,0
ASUS TUF Gaming A16 FA608UM-QT043 WIN11 32GB램,ASUS,1,AMD,7,외장,32.0,90.0,2.2,16.0,2342000,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,25.06.,9,0,0,1,0
LG전자 2025 그램 프로17 17Z90TR-ED7HK,LG전자,1,인텔,7,외장,32.0,90.0,1.48,17.0,3420730,12,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,1,5.0,1,26.01.,2,0,0,1,0
에이서 프레데터 헬리오스 네오 16S 슬림 AI PHN16S-71-97L7 WIN11,에이서,1,인텔,9,외장,32.0,76.0,2.15,16.0,2720000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.07.,8,0,0,1,0
GIGABYTE AORUS MASTER 16 BZH,GIGABYTE,1,인텔,9,외장,32.0,99.0,2.5,16.0,5499000,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.03.,12,5,1,0,0
레노버 LEGION Pro 7 16IAX10 U9 5080 Plus 64GB램,레노버,1,인텔,9,외장,64.0,99.0,2.72,16.0,5188000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.03.,12,5,1,0,0
삼성전자 갤럭시북5 프로 NT940XHA-KP72S,삼성전자,1,인텔,7,내장,32.0,63.0,1.23,14.0,2389890,2,사무,0,0,1,0,1,4.5,0,25.01.,14,4,0,1,0
HP 오멘 16-am0341TX,HP,1,인텔,7,외장,24.0,70.0,2.43,16.0,2099000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,26.01.,2,0,0,1,0
레노버 LEGION 5 15IRX10 i7 5060 W11,레노버,0,인텔,7,외장,16.0,80.0,1.9,15.1,2094460,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.08.,7,2,0,1,0
삼성전자 갤럭시북5 프로 NT960XHA-KP72G,삼성전자,1,인텔,7,내장,32.0,76.0,1.56,16.0,2669990,1,사무,0,0,1,0,1,5.0,0,25.01.,14,4,0,1,0
"APPLE 맥북프로16 M5프로 18코어 CPU, 20코어 GPU 블랙",APPLE,0,APPLE,9,내장,24.0,100.0,2.14,16.2,4289890,0,그래픽작업용,0,1,0,0,0,0.0,0,26.03.,0,1,0,0,1
LG전자 2025 그램 프로16 16ZD90TR-EX7BK WIN11,LG전자,1,인텔,7,외장,32.0,90.0,1.36,16.0,3216370,0,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,0,0.0,1,26.01.,2,0,0,1,0
레노버 아이디어패드 Pro 5 16IAH10 ULT9 AI,레노버,1,인텔,9,내장,32.0,84.0,1.72,16.0,1959000,0,사무,0,0,1,0,0,0.0,0,25.02.,13,1,1,0,0
삼성전자 갤럭시북5 프로 NT940XHA-KH72A,삼성전자,1,인텔,7,내장,32.0,63.0,1.23,14.0,2590000,0,사무,0,0,1,0,0,0.0,0,25.03.,12,1,0,1,0
삼성전자 갤럭시북5 프로 NT940XHA-KD72G,삼성전자,1,인텔,7,내장,32.0,63.0,1.23,14.0,2504510,4,사무,0,0,1,0,1,5.0,0,25.01.,14,4,0,1,0
레노버 LEGION Pro 5 16AFR10 83F2000UKR,레노버,0,AMD,5,외장,32.0,80.0,2.3,16.0,2738890,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.09.,6,3,1,0,0
LG전자 2026 그램 프로360 16T95TP-KD7BK,LG전자,1,인텔,7,내장,32.0,77.0,1.399,16.0,2983090,40,사무,0,0,1,0,1,4.9,0,26.01.,2,4,0,1,0
HP 엘리트북 8 G1i 14 AP6K1AV 5G,HP,1,인텔,7,내장,16.0,62.0,1.39,14.0,2301080,3,사무,0,0,1,0,1,5.0,0,25.11.,4,4,0,1,0
HP HyperX 오멘 15-ga0033TX,HP,0,인텔,5,외장,24.0,70.0,2.21,15.3,1920000,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,26.01.,2,3,1,0,0
레노버 LEGION 5 15AKP10 83F1001WKR WIN11,레노버,1,AMD,7,외장,32.0,80.0,2.0,15.1,2770210,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,25.08.,7,0,0,1,0
레노버 LEGION Pro 7 16IAX10 U9 5070Ti Plus,레노버,1,인텔,9,외장,32.0,80.0,2.57,16.0,3690000,5,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,5,1,0,0
HP 오멘 MAX 16-ah0229TX,HP,1,인텔,9,외장,32.0,83.0,2.75,16.0,3601000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.08.,7,0,0,1,0
LG전자 2025 그램15 15ZD90T-GX56K WIN11,LG전자,1,인텔,5,내장,16.0,72.0,1.29,15.6,1818890,2,사무,0,0,1,0,1,5.0,0,25.01.,14,4,0,1,0
삼성전자 갤럭시북5 프로 NT960XHA-K52A,삼성전자,1,인텔,5,내장,32.0,76.0,1.56,16.0,2396000,9,사무,0,0,1,0,1,5.0,0,25.01.,14,4,0,1,0
ASUS ROG STRIX G18 G815LR-S9199,ASUS,1,인텔,9,외장,32.0,90.0,3.42,18.0,3597090,5,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,5,1,0,0
ASUS ProArt PX13 HN7306EA-LX090W,ASUS,1,AMD,9,내장,128.0,73.0,1.38,13.3,4496000,1,사무,0,0,1,0,1,5.0,0,26.02.,1,4,0,1,0
ASUS ROG 제피러스 G16 GU605CP-QR019W,ASUS,1,인텔,9,외장,32.0,90.0,1.85,16.0,3699050,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.05.,10,0,0,1,0
에이서 프레데터 헬리오스 네오 18 AI PHN18-72-97G7,에이서,1,인텔,9,외장,32.0,90.0,3.3,18.0,3442000,4,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.08.,7,5,1,0,0
ASUS TUF Gaming A14 FA401KM-RG006 WIN11,ASUS,1,AMD,7,외장,32.0,73.0,1.46,14.0,2349000,0,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,0,0.0,1,25.07.,8,0,0,1,0
HP 오멘 16-wf0093TX 64GB램,HP,0,인텔,7,외장,64.0,83.0,2.37,16.1,2834790,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,23.08.,31,2,0,1,0
LG전자 2026 그램15 15ZD95U-GX56K WIN11,LG전자,1,AMD,5,내장,16.0,72.0,1.29,15.6,1947990,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
LG전자 2026 그램 프로16 16Z90U-KU7BK,LG전자,1,인텔,7,내장,32.0,77.0,1.19,16.0,3259000,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
레노버 LEGION Pro 5 16AFR10 83F2000WKR,레노버,0,AMD,5,외장,32.0,80.0,2.3,16.0,2579000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.09.,6,3,1,0,0
ASUS ProArt P16 H7606WM-ME027W,ASUS,1,AMD,9,외장,32.0,90.0,1.85,16.0,3898990,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.05.,10,0,0,1,0
LG전자 2025 그램 프로16 16Z90TR-ED7HK,LG전자,1,인텔,7,외장,32.0,90.0,1.36,16.0,3398150,9,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,1,5.0,1,26.01.,2,0,0,1,0
삼성전자 갤럭시북5 NT750XHD-KC51G,삼성전자,1,인텔,5,내장,16.0,61.2,1.55,15.6,1659890,0,사무,0,0,1,0,0,0.0,0,25.07.,8,1,0,1,0
HP 옴니북 X 14-fe0005QU,HP,1,Qualcomm,7,내장,16.0,59.0,1.34,14.0,1099000,0,사무,0,0,1,0,0,0.0,0,24.06.,21,1,0,1,0
레노버 씽크패드 X1 카본 Gen13 ARL 21NXS0XB00,레노버,1,인텔,7,내장,64.0,57.0,1.006,14.0,3440000,0,사무,0,0,1,0,0,0.0,0,25.11.,4,1,0,1,0
레노버 씽크북 16IAL G8 U7 3K AI W11 32GB램,레노버,1,인텔,7,내장,32.0,71.0,1.7,16.0,1948890,0,사무,0,0,1,0,0,0.0,0,25.04.,11,1,0,1,0
삼성전자 갤럭시북5 NT750XHW-A71A WIN11,삼성전자,1,인텔,7,내장,16.0,61.2,1.55,15.6,1846890,0,사무,0,0,1,0,0,0.0,0,25.12.,3,1,0,1,0
LG전자 울트라PC 15UD50T-GX5JK 16GB램,LG전자,0,인텔,5,내장,16.0,51.0,1.7,15.6,993690,3,사무,0,0,1,0,1,5.0,0,24.12.,15,3,1,0,0
레노버 아이디어패드 Slim5 14AKP10 83HX00A2KR,레노버,1,AMD,7,내장,24.0,60.0,1.39,14.0,1309000,0,사무,0,0,1,0,0,0.0,0,25.09.,6,1,0,1,0
HP 빅터스 15-fb2061AX WIN11 16GB램,HP,1,AMD,5,외장,16.0,70.0,2.29,15.6,1419000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,0,0,1,0
LG전자 2026 그램 프로16 16Z90U-KS5EK,LG전자,1,인텔,5,내장,32.0,77.0,1.19,16.0,2919990,12,사무,0,0,1,0,1,5.0,0,26.01.,2,4,0,1,0
ASUS 비보북 S 16 M3607KA-SH106W,ASUS,1,AMD,7,내장,32.0,70.0,1.7,16.0,1649000,1,사무,0,0,1,0,1,5.0,0,25.12.,3,4,0,1,0
ASUS ROG STRIX SCAR 18 G835LW-SA045W,ASUS,1,인텔,9,외장,32.0,90.0,3.48,18.0,5258990,11,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,25.03.,12,0,0,1,0
ASUS ROG 제피러스 G14 GA403WM-QS016W,ASUS,1,AMD,9,외장,32.0,73.0,1.5,14.0,3148000,3,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,1,4.3,1,25.06.,9,0,0,1,0
ASUS ROG STRIX SCAR 18 G835LR-SA116W,ASUS,1,인텔,9,외장,32.0,90.0,3.48,18.0,4149000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.04.,11,0,0,1,0
"APPLE 맥북프로14 M3프로 12코어 CPU, 18코어 GPU 블랙",APPLE,1,APPLE,9,내장,18.0,72.4,1.61,14.2,2476610,110,그래픽작업용,0,1,0,0,1,4.9,0,23.11.,28,4,0,0,1
LG전자 2024 그램15 15ZD90S-GX56K WIN11,LG전자,1,인텔,5,내장,16.0,72.0,1.3,15.6,1676080,7,사무,0,0,1,0,1,4.8,0,24.01.,26,4,0,1,0
LG전자 2026 그램 프로16 16ZD95U-GX5BK,LG전자,1,AMD,5,내장,16.0,77.0,1.19,16.0,2267580,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,1,0,0
레노버 LEGION 7 16IAX10 U9 5070 Plus,레노버,1,인텔,9,외장,32.0,84.0,2.0,16.0,3109000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,5,1,0,0
에이서 니트로 18 AI AN18-61-R1PB,에이서,1,AMD,7,외장,32.0,90.0,3.02,18.0,2598000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.11.,4,0,0,1,0
레노버 아이디어패드 Slim5 14AKP10 83HX0022KR,레노버,1,AMD,7,내장,24.0,60.0,1.39,14.0,1309000,0,사무,0,0,1,0,0,0.0,0,25.07.,8,1,0,1,0
레노버 씽크패드 T1g Gen8 21TDS00F00,레노버,1,인텔,9,외장,64.0,90.0,1.84,16.0,5859650,0,"그래픽작업용 , 사무",0,1,1,0,0,0.0,1,26.01.,2,0,0,1,0
LG전자 2026 그램14 14ZD95U-GX56K,LG전자,1,AMD,5,내장,16.0,72.0,1.12,14.0,1822350,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,1,0,0
레노버 아이디어패드 Pro 5 16IAH10 ULT9 5050 AI WIN11,레노버,1,인텔,9,외장,32.0,84.0,1.72,16.0,2849000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.07.,8,0,0,1,0
ASUS TUF Gaming A16 FA608UM-QT043,ASUS,1,AMD,7,외장,16.0,90.0,2.2,16.0,1952000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.06.,9,5,1,0,0
"APPLE 맥북프로14 M5 10코어 CPU, 10코어 GPU 블랙 영문",APPLE,0,APPLE,7,내장,16.0,72.4,1.55,14.2,2501700,0,그래픽작업용,0,1,0,0,0,0.0,0,25.11.,4,1,0,0,1
LG전자 2026 그램 프로16 16ZD95U-GX59K,LG전자,1,AMD,5,내장,32.0,77.0,1.19,16.0,2416440,1,사무,0,0,1,0,1,5.0,0,26.01.,2,4,1,0,0
LG전자 2026 그램 프로16 16ZD95U-GX5BK WIN11,LG전자,1,AMD,5,내장,16.0,77.0,1.19,16.0,2352050,1,사무,0,0,1,0,1,4.0,0,26.01.,2,4,0,1,0
ASUS 젠북 S 16 OLED UM5606WA-RJ165W,ASUS,1,AMD,9,내장,32.0,78.0,1.5,16.0,2734000,21,사무,0,0,1,0,1,4.9,0,24.07.,20,4,0,1,0
삼성전자 갤럭시북5 프로360 NT960QHA-KT72G,삼성전자,1,인텔,7,내장,32.0,76.0,1.69,16.0,2688890,1,사무,0,0,1,0,1,5.0,0,25.05.,10,4,0,1,0
ASUS ROG STRIX G18 G815LR-S9199 WIN11,ASUS,1,인텔,9,외장,32.0,90.0,3.42,18.0,3777000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.04.,11,0,0,1,0
ASUS 비보북 프로 15 OLED N6506MV-MA086,ASUS,1,인텔,7,외장,24.0,75.0,1.75,15.6,2386500,20,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,24.02.,25,5,1,0,0
LG전자 울트라PC 15U50T-GA5VK,LG전자,0,인텔,5,내장,16.0,51.0,1.7,15.6,966520,4,사무,0,0,1,0,1,4.0,0,25.01.,14,4,0,1,0
LG전자 2025 그램15 15ZD90T-GX56K,LG전자,1,인텔,5,내장,16.0,72.0,1.29,15.6,1798990,2,사무,0,0,1,0,1,4.0,0,25.01.,14,4,1,0,0
"APPLE 맥북에어13 M5 10코어 CPU, 10코어 GPU 블루",APPLE,0,APPLE,7,내장,16.0,53.8,1.23,13.6,2048200,0,"그래픽작업용 , 사무",0,1,1,0,0,0.0,0,26.03.,0,1,0,0,1
레노버 LEGION 5 15AHP10 83M0000JKR 32GB램,레노버,1,AMD,7,외장,32.0,80.0,1.9,15.1,2400000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.09.,6,0,0,1,0
HP 255R G10 BY9U2AT WIN11 16GB램,HP,0,AMD,5,내장,16.0,41.0,1.66,15.6,865930,1,사무,0,0,1,0,1,5.0,0,25.08.,7,4,0,1,0
레노버 LEGION 5 15AHP10 83M0000JKR,레노버,1,AMD,7,외장,24.0,80.0,1.9,15.1,2199000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.09.,6,0,0,1,0
LG전자 울트라PC 15UD50T-GX5JK WIN11,LG전자,0,인텔,5,내장,8.0,51.0,1.7,15.6,927440,1,사무,0,0,1,0,1,1.0,0,24.12.,15,1,0,1,0
LG전자 2025 그램 프로17 17ZD90TR-SX59K WIN11,LG전자,1,인텔,5,외장,32.0,90.0,1.48,17.0,2630720,2,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,1,5.0,1,25.02.,13,0,0,1,0
HP 옴니북 Ultra Flip Ultra7,HP,1,인텔,7,내장,32.0,64.0,1.35,14.0,2229000,0,사무,0,0,1,0,0,0.0,0,25.04.,11,1,0,1,0
LG전자 울트라PC 15UD50T-GX5JK,LG전자,0,인텔,5,내장,8.0,51.0,1.7,15.6,907990,0,사무,0,0,1,0,0,0.0,0,24.10.,17,1,1,0,0
ASUS TUF Gaming A16 FA608PP-QT028 WIN11 64GB램,ASUS,0,AMD,9,외장,64.0,90.0,2.2,16.0,3168460,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.05.,10,2,0,1,0
삼성전자 갤럭시북5 프로360 NT960QHA-KD72S,삼성전자,1,인텔,7,내장,32.0,76.0,1.69,16.0,2798990,1,사무,0,0,1,0,1,5.0,0,24.11.,16,4,0,1,0
삼성전자 갤럭시북5 프로 NT960XHA-K71A,삼성전자,1,인텔,7,내장,16.0,76.0,1.56,16.0,2324000,6,사무,0,0,1,0,1,5.0,0,25.01.,14,4,0,1,0
DELL 에일리언웨어 16 Aurora DAC16250-WH05KR,DELL,0,인텔,7,외장,32.0,96.0,2.57,16.0,2498890,3,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,25.09.,6,2,0,1,0
HP 프로북 4 G1a 16 BY9U0AT WIN11 16GB램,HP,0,AMD,5,내장,16.0,48.0,1.75,16.0,993650,0,사무,0,0,1,0,0,0.0,0,25.08.,7,1,0,1,0
HP 15-fd1029TU,HP,1,인텔,5,내장,16.0,41.0,1.6,15.6,925990,1,사무,0,0,1,0,1,5.0,0,24.04.,23,4,0,1,0
"APPLE 맥북에어15 M3 8코어 CPU, 10코어 GPU 블루",APPLE,1,APPLE,7,내장,8.0,66.5,1.51,15.3,2064790,0,그래픽작업용,0,1,0,0,0,0.0,0,24.03.,24,1,0,0,1
HP 오멘 16-am0338TX,HP,1,인텔,7,외장,24.0,70.0,2.43,16.0,2149000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,26.01.,2,5,1,0,0
레노버 아이디어패드 Pro 5 14IAH10 ULT9 AI W11,레노버,1,인텔,9,내장,32.0,84.0,1.39,14.0,1899000,6,사무,0,0,1,0,1,5.0,0,25.05.,10,4,0,1,0
LG전자 2025 그램 프로16 16ZD90TR-SXSWK WIN11,LG전자,1,인텔,7,외장,32.0,90.0,1.36,16.0,3044890,0,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,0,0.0,1,25.08.,7,0,0,1,0
LG전자 2024 그램16 16ZD90SU-GX56K WIN11 16GB램,LG전자,1,인텔,5,내장,16.0,77.0,1.12,16.0,1678990,16,사무,0,0,1,0,1,4.8,0,24.04.,23,4,0,1,0
DELL 에일리언웨어 16 Aurora DAC16250-WH03KR,DELL,0,인텔,7,외장,16.0,96.0,2.57,16.0,2251110,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.09.,6,2,0,1,0
LG전자 2025 그램 프로16 16Z90TR-SAFWK,LG전자,1,인텔,5,외장,32.0,90.0,1.36,16.0,2881090,0,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,0,0.0,1,25.08.,7,0,0,1,0
